shipment_id,product_id,stock_on_hand,recorded_at
S01602,Rubber Matting (for stalls and walkways),8313,22/02/2025 18:06
S01603,Stable Brooms / Yard Brushes,26259,06/02/2025 14:53
S01604,Feed Buckets / Feed Tubs,7411,06/02/2025 06:18
S01605,Muck Forks / Stable Forks,14611,03/03/2025 07:56
S01606,Storage Bins / Feed Storage,30683,09/02/2025 09:52
S01607,Hay Nets / Hay Bags,21600,09/02/2025 06:49
S01608,Rubber Matting (for stalls and walkways),10461,25/02/2025 13:15
S01609,Manure Scoops,24790,14/02/2025 12:55
S01610,Rubber Matting (for stalls and walkways),8313,22/02/2025 13:20
S01611,Water Troughs / Water Buckets,22051,04/02/2025 13:50
S01612,Feed Buckets / Feed Tubs,16645,13/02/2025 10:03
S01613,Water Troughs / Water Buckets,10317,09/02/2025 19:22
S01614,Muck Forks / Stable Forks,16262,11/02/2025 21:17
S01615,Hay Nets / Hay Bags,21600,09/02/2025 13:10
S01616,Rubber Matting (for stalls and walkways),18177,23/02/2025 18:43
S01617,Manure Scoops,26766,13/02/2025 09:09
S01618,Water Troughs / Water Buckets,22051,04/02/2025 20:42
S01619,Hay Nets / Hay Bags,11773,05/02/2025 06:36
S01620,Manure Scoops,19271,06/02/2025 21:41
S01621,Feed Buckets / Feed Tubs,30823,08/02/2025 20:41
S01622,Storage Bins / Feed Storage,12299,06/02/2025 07:34
S01623,Rubber Matting (for stalls and walkways),14640,24/02/2025 21:55
S01624,Stable Brooms / Yard Brushes,27650,09/02/2025 13:52
S01625,Muck Forks / Stable Forks,12838,19/02/2025 20:25
S01626,Storage Bins / Feed Storage,14351,05/02/2025 19:10
S01627,Muck Forks / Stable Forks,16262,11/02/2025 14:11
S01628,Shovels / Rakes,15776,10/02/2025 14:28
S01629,Hay Nets / Hay Bags,31658,27/02/2025 12:32
S01630,Manure Scoops,19271,06/02/2025 15:44
S01631,Feed Buckets / Feed Tubs,28694,04/03/2025 06:05
S01632,Manure Scoops,21437,05/02/2025 14:49
S01633,Shovels / Rakes,9981,01/03/2025 20:29
S01634,Hay Nets / Hay Bags,16122,26/02/2025 18:57
S01635,Hay Nets / Hay Bags,26266,24/02/2025 07:55
S01636,Muck Forks / Stable Forks,12328,12/02/2025 20:36
S01637,Feed Buckets / Feed Tubs,20217,14/02/2025 17:54
S01638,Storage Bins / Feed Storage,22773,04/03/2025 17:19
S01639,Manure Scoops,8718,15/02/2025 21:56
S01640,Rubber Matting (for stalls and walkways),11025,05/03/2025 06:32
S01641,Hay Nets / Hay Bags,6920,04/03/2025 15:36
S01642,Shovels / Rakes,15163,11/02/2025 18:32
S01643,Stable Brooms / Yard Brushes,25051,27/02/2025 15:29
S01644,Feed Buckets / Feed Tubs,11292,11/02/2025 11:37
S01645,Feed Buckets / Feed Tubs,31378,10/02/2025 19:24
S01646,Feed Buckets / Feed Tubs,26516,02/03/2025 14:56
S01647,Water Troughs / Water Buckets,10317,09/02/2025 12:26
S01648,Rubber Matting (for stalls and walkways),10727,18/02/2025 16:35
S01649,Storage Bins / Feed Storage,13213,08/02/2025 15:15
S01650,Feed Buckets / Feed Tubs,7411,06/02/2025 05:21
S01651,Shovels / Rakes,25016,18/02/2025 11:49
S01652,Feed Buckets / Feed Tubs,23477,21/02/2025 05:52
S01653,Shovels / Rakes,20911,06/02/2025 14:25
S01654,Shovels / Rakes,21649,03/03/2025 18:38
S01655,Storage Bins / Feed Storage,12231,05/03/2025 08:21
S01656,Storage Bins / Feed Storage,9050,19/02/2025 12:12
S01657,Muck Forks / Stable Forks,14611,03/03/2025 06:36
S01658,Manure Scoops,23689,09/02/2025 13:56
S01659,Water Troughs / Water Buckets,28204,07/02/2025 21:26
S01660,Water Troughs / Water Buckets,6125,13/02/2025 08:58
S01661,Water Troughs / Water Buckets,18395,14/02/2025 15:43
S01662,Hay Nets / Hay Bags,,
S01663,Feed Buckets / Feed Tubs,23336,28/02/2025 10:51
S01664,Feed Buckets / Feed Tubs,11292,11/02/2025 12:40
S01665,Stable Brooms / Yard Brushes,25051,27/02/2025 21:45
S01666,Stable Brooms / Yard Brushes,21575,28/02/2025 14:47
S01667,Water Troughs / Water Buckets,11636,08/02/2025 05:43
S01668,Water Troughs / Water Buckets,18395,14/02/2025 08:40
S01669,Manure Scoops,16668,10/02/2025 15:28
S01670,Stable Brooms / Yard Brushes,17216,11/02/2025 14:52
S01671,Muck Forks / Stable Forks,6166,06/02/2025 08:10
S01672,Feed Buckets / Feed Tubs,24799,01/03/2025 08:18
S01673,Feed Buckets / Feed Tubs,16645,13/02/2025 16:55
S01674,Muck Forks / Stable Forks,22065,10/02/2025 13:19
S01675,Muck Forks / Stable Forks,17452,04/03/2025 14:19
S01676,Hay Nets / Hay Bags,9965,03/03/2025 18:45
S01677,Feed Buckets / Feed Tubs,31378,10/02/2025 06:51
S01678,Feed Buckets / Feed Tubs,37772,15/02/2025 07:59
S01679,Manure Scoops,25482,07/02/2025 14:34
S01680,Water Troughs / Water Buckets,28204,07/02/2025 11:12
S01681,Stable Brooms / Yard Brushes,35063,10/02/2025 15:47
S01682,Stable Brooms / Yard Brushes,35063,10/02/2025 18:59
S01683,Storage Bins / Feed Storage,22773,04/03/2025 07:53
S01684,Manure Scoops,22137,12/02/2025 07:32
S01685,Feed Buckets / Feed Tubs,23336,28/02/2025 10:10
S01686,Shovels / Rakes,6638,08/02/2025 14:19
S01687,Feed Buckets / Feed Tubs,28754,03/03/2025 13:27
S01688,Rubber Matting (for stalls and walkways),14640,24/02/2025 07:39
S01689,Muck Forks / Stable Forks,22065,10/02/2025 10:58
S01690,Feed Buckets / Feed Tubs,23336,28/02/2025 16:47
S01691,Muck Forks / Stable Forks,16262,11/02/2025 12:09
S01692,Rubber Matting (for stalls and walkways),2687,02/03/2025 05:28
S01693,Feed Buckets / Feed Tubs,24799,01/03/2025 12:12
S01694,Manure Scoops,23689,09/02/2025 14:00
S01695,Stable Brooms / Yard Brushes,25348,13/02/2025 07:38
S01696,Stable Brooms / Yard Brushes,27650,09/02/2025 16:28
S01697,Manure Scoops,17358,08/02/2025 16:23
S01698,Water Troughs / Water Buckets,3120,06/02/2025 18:37
S01699,Hay Nets / Hay Bags,11773,05/02/2025 12:28
S01700,Shovels / Rakes,13033,15/02/2025 19:17
S01701,Feed Buckets / Feed Tubs,13440,09/02/2025 05:17
S01702,Shovels / Rakes,9198,23/02/2025 05:16
S01703,Manure Scoops,22137,12/02/2025 06:37
S01704,Manure Scoops,23689,09/02/2025 09:25
S01705,Feed Buckets / Feed Tubs,18702,20/02/2025 17:49
S01706,Shovels / Rakes,18973,20/02/2025 19:08
S01707,Muck Forks / Stable Forks,10704,08/02/2025 14:27
S01708,Shovels / Rakes,15676,06/03/2025 05:05
S01709,Storage Bins / Feed Storage,10905,10/02/2025 11:35
S01710,Manure Scoops,24790,14/02/2025 07:15
S01711,Rubber Matting (for stalls and walkways),18808,28/02/2025 18:27
S01712,Shovels / Rakes,2105,24/02/2025 05:57
S01713,Feed Buckets / Feed Tubs,23477,21/02/2025 06:28
S01714,Water Troughs / Water Buckets,28204,07/02/2025 05:25
S01715,Water Troughs / Water Buckets,18395,14/02/2025 06:12
S01716,Water Troughs / Water Buckets,12608,11/02/2025 17:28
S01717,Feed Buckets / Feed Tubs,14674,05/03/2025 13:44
S01718,Manure Scoops,22137,12/02/2025 18:26
S01719,Storage Bins / Feed Storage,26370,03/03/2025 21:22
S01720,Shovels / Rakes,13033,15/02/2025 17:40
S01721,Shovels / Rakes,25016,18/02/2025 19:25
S01722,Feed Buckets / Feed Tubs,43873,11/03/2025 12:59
S01723,Storage Bins / Feed Storage,19540,11/02/2025 07:35
S01724,Feed Buckets / Feed Tubs,26516,02/03/2025 11:55
S01725,Stable Brooms / Yard Brushes,20173,16/02/2025 10:32
S01726,Stable Brooms / Yard Brushes,15368,12/02/2025 06:28
S01727,Manure Scoops,24790,14/02/2025 07:29
S01728,Storage Bins / Feed Storage,13213,08/02/2025 07:03
S01729,Muck Forks / Stable Forks,22220,07/02/2025 13:14
S01730,Shovels / Rakes,6638,08/02/2025 16:02
S01731,Muck Forks / Stable Forks,8904,15/02/2025 20:27
S01732,Muck Forks / Stable Forks,16121,09/03/2025 09:21
S01733,Stable Brooms / Yard Brushes,12821,24/02/2025 21:14
S01734,Manure Scoops,15264,16/02/2025 20:02
S01735,Muck Forks / Stable Forks,22065,10/02/2025 18:20
S01736,Manure Scoops,23689,09/02/2025 11:22
S01737,Feed Buckets / Feed Tubs,13440,09/02/2025 12:03
S01738,Feed Buckets / Feed Tubs,30823,08/02/2025 06:38
S01739,Shovels / Rakes,4832,14/02/2025 14:48
S01740,Stable Brooms / Yard Brushes,26533,15/02/2025 21:45
S01741,Hay Nets / Hay Bags,32876,01/03/2025 19:10
S01742,Rubber Matting (for stalls and walkways),10915,03/03/2025 20:47
S01743,Hay Nets / Hay Bags,15402,11/02/2025 19:01
S01744,Feed Buckets / Feed Tubs,31378,10/02/2025 15:27
S01745,Water Troughs / Water Buckets,11636,08/02/2025 05:07
S01746,Rubber Matting (for stalls and walkways),11025,05/03/2025 08:34
S01747,Water Troughs / Water Buckets,8673,15/02/2025 17:12
S01748,Storage Bins / Feed Storage,10087,28/02/2025 16:48
S01749,Hay Nets / Hay Bags,10806,20/02/2025 17:20
S01750,Shovels / Rakes,9932,16/02/2025 08:05
S01751,Storage Bins / Feed Storage,30683,09/02/2025 06:38
S01752,Stable Brooms / Yard Brushes,26533,15/02/2025 20:42
S01753,Muck Forks / Stable Forks,20290,08/03/2025 19:22
S01754,Hay Nets / Hay Bags,12402,12/02/2025 08:30
S01755,Stable Brooms / Yard Brushes,32784,21/02/2025 05:21
S01756,Shovels / Rakes,9198,23/02/2025 17:35
S01757,Manure Scoops,8718,15/02/2025 12:10
S01758,Stable Brooms / Yard Brushes,37510,08/02/2025 11:25
S01759,Feed Buckets / Feed Tubs,37772,15/02/2025 17:10
S01760,Shovels / Rakes,21649,03/03/2025 19:36
S01761,Muck Forks / Stable Forks,15182,01/03/2025 06:28
S01762,Hay Nets / Hay Bags,11193,10/02/2025 19:21
S01763,Water Troughs / Water Buckets,18395,14/02/2025 17:34
S01764,Stable Brooms / Yard Brushes,20173,16/02/2025 14:06
S01765,Feed Buckets / Feed Tubs,30127,06/03/2025 14:03
S01766,Water Troughs / Water Buckets,14739,10/02/2025 21:25
S01767,Hay Nets / Hay Bags,32876,01/03/2025 08:35
S01768,Manure Scoops,15264,16/02/2025 07:04
S01769,Storage Bins / Feed Storage,12299,06/02/2025 12:21
S01770,Feed Buckets / Feed Tubs,9165,16/02/2025 14:00
S01771,Storage Bins / Feed Storage,12299,06/02/2025 08:24
S01772,Storage Bins / Feed Storage,15549,12/02/2025 09:41
S01773,Shovels / Rakes,21649,03/03/2025 05:16
S01774,Feed Buckets / Feed Tubs,23477,21/02/2025 18:00
S01775,Hay Nets / Hay Bags,11193,10/02/2025 17:51
S01776,Manure Scoops,8718,15/02/2025 11:54
S01777,Stable Brooms / Yard Brushes,18071,25/02/2025 12:41
S01778,Manure Scoops,17358,08/02/2025 20:12
S01779,Hay Nets / Hay Bags,23643,09/03/2025 20:05
S01780,Stable Brooms / Yard Brushes,37510,08/02/2025 15:26
S01781,Storage Bins / Feed Storage,26370,03/03/2025 06:27
S01782,Stable Brooms / Yard Brushes,21247,06/03/2025 12:25
S01783,Manure Scoops,23689,09/02/2025 16:30
S01784,Storage Bins / Feed Storage,30683,09/02/2025 15:26
S01785,Water Troughs / Water Buckets,28204,07/02/2025 11:46
S01786,Manure Scoops,5531,11/02/2025 15:11
S01787,Feed Buckets / Feed Tubs,21082,12/02/2025 07:03
S01788,Muck Forks / Stable Forks,8904,15/02/2025 14:37
S01789,Manure Scoops,16668,10/02/2025 17:01
S01790,Manure Scoops,8718,15/02/2025 20:08
S01791,Stable Brooms / Yard Brushes,20173,16/02/2025 16:22
S01792,Feed Buckets / Feed Tubs,26516,02/03/2025 17:38
S01793,Water Troughs / Water Buckets,28204,07/02/2025 07:59
S01794,Muck Forks / Stable Forks,16262,11/02/2025 08:24
S01795,Feed Buckets / Feed Tubs,30823,08/02/2025 06:07
S01796,Muck Forks / Stable Forks,15055,09/02/2025 12:15
S01797,Feed Buckets / Feed Tubs,43873,11/03/2025 19:37
S01798,Rubber Matting (for stalls and walkways),14412,04/03/2025 20:56
S01799,Water Troughs / Water Buckets,28204,07/02/2025 16:58
S01800,Stable Brooms / Yard Brushes,26533,15/02/2025 13:00
S01801,Muck Forks / Stable Forks,15182,01/03/2025 14:35
S01802,Rubber Matting (for stalls and walkways),18177,23/02/2025 11:01
S01803,Hay Nets / Hay Bags,12402,12/02/2025 08:59
S01804,Shovels / Rakes,9981,01/03/2025 20:12
S01805,Shovels / Rakes,4832,14/02/2025 09:11
S01806,Feed Buckets / Feed Tubs,24799,01/03/2025 07:09
S01807,Stable Brooms / Yard Brushes,,
S01808,Stable Brooms / Yard Brushes,25348,13/02/2025 07:10
S01809,Stable Brooms / Yard Brushes,19846,17/02/2025 18:58
S01810,Hay Nets / Hay Bags,21349,13/02/2025 17:08
S01811,Water Troughs / Water Buckets,10737,16/02/2025 12:27
S01812,Manure Scoops,16668,10/02/2025 09:01
S01813,Stable Brooms / Yard Brushes,14326,03/03/2025 07:02
S01814,Hay Nets / Hay Bags,31658,27/02/2025 11:47
S01815,Manure Scoops,26766,13/02/2025 18:17
S01816,Hay Nets / Hay Bags,15402,11/02/2025 09:11
S01817,Shovels / Rakes,15676,06/03/2025 17:23
S01818,Storage Bins / Feed Storage,21785,13/02/2025 12:16
S01819,Manure Scoops,26766,13/02/2025 10:05
S01820,Muck Forks / Stable Forks,12069,16/02/2025 10:43
S01821,Muck Forks / Stable Forks,23430,14/02/2025 15:58
S01822,Feed Buckets / Feed Tubs,37772,15/02/2025 05:37
S01823,Hay Nets / Hay Bags,16816,14/02/2025 11:25
S01824,Manure Scoops,24893,17/02/2025 09:36
S01825,Storage Bins / Feed Storage,6820,21/02/2025 08:53
S01826,Manure Scoops,24790,14/02/2025 07:03
S01827,Stable Brooms / Yard Brushes,25348,13/02/2025 12:21
S01828,Hay Nets / Hay Bags,23643,09/03/2025 17:42
S01829,Manure Scoops,23689,09/02/2025 06:54
S01830,Rubber Matting (for stalls and walkways),10461,25/02/2025 13:29
S01831,Hay Nets / Hay Bags,11224,25/02/2025 06:21
S01832,Stable Brooms / Yard Brushes,35063,10/02/2025 09:22
S01833,Rubber Matting (for stalls and walkways),8701,11/03/2025 10:59
S01834,Manure Scoops,26766,13/02/2025 16:13
S01835,Muck Forks / Stable Forks,12328,12/02/2025 21:04
S01836,Muck Forks / Stable Forks,15055,09/02/2025 11:47
S01837,Hay Nets / Hay Bags,11251,23/02/2025 18:54
S01838,Hay Nets / Hay Bags,31658,27/02/2025 09:30
S01839,Manure Scoops,26766,13/02/2025 07:00
S01840,Storage Bins / Feed Storage,30683,09/02/2025 06:54
S01841,Feed Buckets / Feed Tubs,21082,12/02/2025 05:44
S01842,Stable Brooms / Yard Brushes,35063,10/02/2025 13:52
S01843,Stable Brooms / Yard Brushes,20173,16/02/2025 17:08
S01844,Manure Scoops,23689,09/02/2025 05:43
S01845,Rubber Matting (for stalls and walkways),8313,22/02/2025 16:07
S01846,Storage Bins / Feed Storage,14850,07/02/2025 17:43
S01847,Manure Scoops,22137,12/02/2025 09:11
S01848,Storage Bins / Feed Storage,30683,09/02/2025 12:05
S01849,Hay Nets / Hay Bags,23643,09/03/2025 21:14
S01850,Hay Nets / Hay Bags,32876,01/03/2025 15:26
S01851,Manure Scoops,16668,10/02/2025 05:29
S01852,Stable Brooms / Yard Brushes,17216,11/02/2025 15:21
S01853,Hay Nets / Hay Bags,32876,01/03/2025 12:51
S01854,Storage Bins / Feed Storage,15549,12/02/2025 17:25
S01855,Shovels / Rakes,14016,12/02/2025 11:31
S01856,Stable Brooms / Yard Brushes,19846,17/02/2025 05:46
S01857,Water Troughs / Water Buckets,6125,13/02/2025 08:23
S01858,Rubber Matting (for stalls and walkways),22712,10/03/2025 17:09
S01859,Water Troughs / Water Buckets,10737,16/02/2025 14:45
S01860,Stable Brooms / Yard Brushes,14326,03/03/2025 13:03
S01861,Water Troughs / Water Buckets,18395,14/02/2025 11:00
S01862,Water Troughs / Water Buckets,18395,14/02/2025 07:00
S01863,Water Troughs / Water Buckets,12608,11/02/2025 16:31
S01864,Muck Forks / Stable Forks,25707,13/02/2025 21:31
S01865,Hay Nets / Hay Bags,32876,01/03/2025 18:14
S01866,Water Troughs / Water Buckets,18395,14/02/2025 09:29
S01867,Storage Bins / Feed Storage,30683,09/02/2025 15:43
S01868,Feed Buckets / Feed Tubs,37772,15/02/2025 06:42
S01869,Stable Brooms / Yard Brushes,15368,12/02/2025 17:47
S01870,Hay Nets / Hay Bags,15402,11/02/2025 06:26
S01871,Stable Brooms / Yard Brushes,24888,01/03/2025 21:20
S01872,Feed Buckets / Feed Tubs,31378,10/02/2025 08:19
S01873,Manure Scoops,16668,10/02/2025 05:15
S01874,Hay Nets / Hay Bags,5170,11/03/2025 11:01
S01875,Storage Bins / Feed Storage,30683,09/02/2025 11:24
S01876,Rubber Matting (for stalls and walkways),7616,27/02/2025 06:55
S01877,Hay Nets / Hay Bags,23079,07/03/2025 09:13
S01878,Manure Scoops,24790,14/02/2025 06:41
S01879,Stable Brooms / Yard Brushes,12821,24/02/2025 09:21
S01880,Muck Forks / Stable Forks,18640,02/03/2025 10:18
S01881,Stable Brooms / Yard Brushes,15062,04/03/2025 05:29
S01882,Storage Bins / Feed Storage,15549,12/02/2025 15:45
S01883,Shovels / Rakes,9932,16/02/2025 20:06
S01884,Rubber Matting (for stalls and walkways),6499,08/03/2025 18:02
S01885,Water Troughs / Water Buckets,14739,10/02/2025 05:06
S01886,Hay Nets / Hay Bags,21600,09/02/2025 12:22
S01887,Rubber Matting (for stalls and walkways),18177,23/02/2025 19:02
S01888,Shovels / Rakes,9981,01/03/2025 10:11
S01889,Manure Scoops,22137,12/02/2025 16:25
S01890,Muck Forks / Stable Forks,20290,08/03/2025 08:58
S01891,Storage Bins / Feed Storage,30683,09/02/2025 05:19
S01892,Muck Forks / Stable Forks,12328,12/02/2025 05:44
S01893,Manure Scoops,5531,11/02/2025 17:32
S01894,Manure Scoops,22137,12/02/2025 09:55
S01895,Hay Nets / Hay Bags,5601,08/02/2025 10:39
S01896,Storage Bins / Feed Storage,11080,08/03/2025 13:29
S01897,Feed Buckets / Feed Tubs,17005,27/02/2025 19:10
S01898,Feed Buckets / Feed Tubs,11292,11/02/2025 10:43
S01899,Rubber Matting (for stalls and walkways),8313,22/02/2025 06:38
S01900,Rubber Matting (for stalls and walkways),22712,10/03/2025 21:05
S01901,Manure Scoops,8718,15/02/2025 11:29
S01902,Muck Forks / Stable Forks,25707,13/02/2025 05:58
S01903,Manure Scoops,26766,13/02/2025 05:38
S01904,Shovels / Rakes,25016,18/02/2025 16:04
S01905,Stable Brooms / Yard Brushes,15368,12/02/2025 15:12
S01906,Shovels / Rakes,9932,16/02/2025 12:41
S01907,Rubber Matting (for stalls and walkways),10915,03/03/2025 06:37
S01908,Feed Buckets / Feed Tubs,43873,11/03/2025 19:06
S01909,Water Troughs / Water Buckets,12608,11/02/2025 13:13
S01910,Storage Bins / Feed Storage,30683,09/02/2025 12:25
S01911,Stable Brooms / Yard Brushes,14061,18/02/2025 15:39
S01912,Shovels / Rakes,15776,10/02/2025 05:42
S01913,Manure Scoops,24790,14/02/2025 16:31
S01914,Stable Brooms / Yard Brushes,34320,14/02/2025 06:32
S01915,Stable Brooms / Yard Brushes,34320,14/02/2025 18:26
S01916,Shovels / Rakes,18852,17/02/2025 05:46
S01917,Manure Scoops,26766,13/02/2025 06:24
S01918,Muck Forks / Stable Forks,19388,22/02/2025 05:15
S01919,Hay Nets / Hay Bags,21158,08/03/2025 07:42
S01920,Storage Bins / Feed Storage,30557,13/03/2025 14:11
S01921,Feed Buckets / Feed Tubs,21251,08/03/2025 12:19
S01922,Manure Scoops,24790,14/02/2025 17:55
S01923,Rubber Matting (for stalls and walkways),18808,28/02/2025 16:09
S01924,Storage Bins / Feed Storage,26370,03/03/2025 11:39
S01925,Feed Buckets / Feed Tubs,19200,12/03/2025 08:02
S01926,Muck Forks / Stable Forks,25707,13/02/2025 12:23
S01927,Feed Buckets / Feed Tubs,37772,15/02/2025 11:08
S01928,Feed Buckets / Feed Tubs,37772,15/02/2025 21:13
S01929,Stable Brooms / Yard Brushes,34320,14/02/2025 14:19
S01930,Feed Buckets / Feed Tubs,11292,11/02/2025 21:17
S01931,Stable Brooms / Yard Brushes,25348,13/02/2025 12:27
S01932,Stable Brooms / Yard Brushes,34320,14/02/2025 20:39
S01933,Feed Buckets / Feed Tubs,11292,11/02/2025 09:26
S01934,Feed Buckets / Feed Tubs,16645,13/02/2025 07:14
S01935,Rubber Matting (for stalls and walkways),14640,24/02/2025 08:50
S01936,Muck Forks / Stable Forks,18640,02/03/2025 16:09
S01937,Muck Forks / Stable Forks,20290,08/03/2025 11:50
S01938,Feed Buckets / Feed Tubs,21082,12/02/2025 11:15
S01939,Shovels / Rakes,1173,13/02/2025 18:57
S01940,Muck Forks / Stable Forks,2493,05/03/2025 21:22
S01941,Manure Scoops,22137,12/02/2025 10:51
S01942,Water Troughs / Water Buckets,14739,10/02/2025 15:42
S01943,Stable Brooms / Yard Brushes,25051,27/02/2025 20:11
S01944,Muck Forks / Stable Forks,11822,24/02/2025 06:32
S01945,Feed Buckets / Feed Tubs,21082,12/02/2025 16:46
S01946,Water Troughs / Water Buckets,21844,01/02/2025 16:46
S01947,Hay Nets / Hay Bags,26266,24/02/2025 13:25
S01948,Hay Nets / Hay Bags,17427,16/02/2025 09:06
S01949,Hay Nets / Hay Bags,11107,15/02/2025 13:36
S01950,Rubber Matting (for stalls and walkways),18177,23/02/2025 20:46
S01951,Feed Buckets / Feed Tubs,20531,09/03/2025 09:59
S01952,Manure Scoops,13362,19/02/2025 12:32
S01953,Feed Buckets / Feed Tubs,16645,13/02/2025 07:14
S01954,Muck Forks / Stable Forks,16262,11/02/2025 19:08
S01955,Feed Buckets / Feed Tubs,34308,25/02/2025 05:07
S01956,Feed Buckets / Feed Tubs,18352,18/02/2025 12:10
S01957,Shovels / Rakes,29292,09/03/2025 21:36
S01958,Stable Brooms / Yard Brushes,31627,09/03/2025 09:56
S01959,Shovels / Rakes,24630,25/02/2025 11:07
S01960,Rubber Matting (for stalls and walkways),14412,04/03/2025 05:51
S01961,Stable Brooms / Yard Brushes,24888,01/03/2025 07:03
S01962,Hay Nets / Hay Bags,21349,13/02/2025 13:08
S01963,Water Troughs / Water Buckets,9057,19/02/2025 15:40
S01964,Hay Nets / Hay Bags,10686,02/03/2025 09:54
S01965,Stable Brooms / Yard Brushes,11866,19/02/2025 10:48
S01966,Rubber Matting (for stalls and walkways),15021,01/03/2025 16:10
S01967,Water Troughs / Water Buckets,14424,17/02/2025 21:46
S01968,Feed Buckets / Feed Tubs,21082,12/02/2025 21:06
S01969,Manure Scoops,15264,16/02/2025 05:27
S01970,Shovels / Rakes,21649,03/03/2025 14:28
S01971,Manure Scoops,24893,17/02/2025 12:28
S01972,Manure Scoops,13362,19/02/2025 20:38
S01973,Storage Bins / Feed Storage,21785,13/02/2025 06:30
S01974,Feed Buckets / Feed Tubs,21251,08/03/2025 16:18
S01975,Feed Buckets / Feed Tubs,31378,10/02/2025 12:11
S01976,Manure Scoops,15264,16/02/2025 11:25
S01977,Manure Scoops,15264,16/02/2025 12:42
S01978,Shovels / Rakes,21649,03/03/2025 21:22
S01979,Stable Brooms / Yard Brushes,26533,15/02/2025 18:10
S01980,Hay Nets / Hay Bags,12402,12/02/2025 12:46
S01981,Storage Bins / Feed Storage,19540,11/02/2025 13:24
S01982,Rubber Matting (for stalls and walkways),20347,13/03/2025 05:17
S01983,Shovels / Rakes,21649,03/03/2025 18:50
S01984,Stable Brooms / Yard Brushes,11866,19/02/2025 19:13
S01985,Storage Bins / Feed Storage,19540,11/02/2025 13:36
S01986,Feed Buckets / Feed Tubs,15138,19/02/2025 09:37
S01987,Feed Buckets / Feed Tubs,20217,14/02/2025 15:33
S01988,Stable Brooms / Yard Brushes,15368,12/02/2025 16:38
S01989,Feed Buckets / Feed Tubs,14674,05/03/2025 20:35
S01990,Storage Bins / Feed Storage,15549,12/02/2025 15:54
S01991,Feed Buckets / Feed Tubs,28694,04/03/2025 05:08
S01992,Shovels / Rakes,29133,14/03/2025 08:51
S01993,Stable Brooms / Yard Brushes,25051,27/02/2025 05:08
S01994,Shovels / Rakes,14016,12/02/2025 17:25
S01995,Rubber Matting (for stalls and walkways),7091,06/03/2025 12:24
S01996,Storage Bins / Feed Storage,19540,11/02/2025 06:47
S01997,Hay Nets / Hay Bags,21349,13/02/2025 10:07
S01998,Shovels / Rakes,10214,28/02/2025 20:03
S01999,Rubber Matting (for stalls and walkways),7616,27/02/2025 07:11
S02000,Muck Forks / Stable Forks,16758,21/02/2025 09:09
S02001,Water Troughs / Water Buckets,8399,12/02/2025 16:36
S02002,Shovels / Rakes,18973,20/02/2025 15:08
S02003,Hay Nets / Hay Bags,11107,15/02/2025 09:27
S02004,Stable Brooms / Yard Brushes,12821,24/02/2025 19:51
S02005,Water Troughs / Water Buckets,8399,12/02/2025 14:28
S02006,Hay Nets / Hay Bags,26266,24/02/2025 19:53
S02007,Feed Buckets / Feed Tubs,9380,17/02/2025 14:26
S02008,Water Troughs / Water Buckets,14424,17/02/2025 10:34
S02009,Muck Forks / Stable Forks,17452,04/03/2025 17:20
S02010,Storage Bins / Feed Storage,26370,03/03/2025 05:28
S02011,Feed Buckets / Feed Tubs,9380,17/02/2025 13:12
S02012,Shovels / Rakes,12538,13/03/2025 15:31
S02013,Manure Scoops,17780,20/02/2025 08:50
S02014,Stable Brooms / Yard Brushes,19846,17/02/2025 07:37
S02015,Water Troughs / Water Buckets,8673,15/02/2025 14:50
S02016,Storage Bins / Feed Storage,15628,24/02/2025 21:35
S02017,Manure Scoops,24893,17/02/2025 05:02
S02018,Shovels / Rakes,18852,17/02/2025 21:43
S02019,Water Troughs / Water Buckets,14424,17/02/2025 06:53
S02020,Shovels / Rakes,18973,20/02/2025 09:02
S02021,Stable Brooms / Yard Brushes,16851,05/03/2025 12:58
S02022,Hay Nets / Hay Bags,21648,14/03/2025 18:04
S02023,Manure Scoops,15264,16/02/2025 15:23
S02024,Stable Brooms / Yard Brushes,11866,19/02/2025 12:28
S02025,Rubber Matting (for stalls and walkways),22712,10/03/2025 13:40
S02026,Hay Nets / Hay Bags,15402,11/02/2025 08:31
S02027,Water Troughs / Water Buckets,8673,15/02/2025 19:10
S02028,Stable Brooms / Yard Brushes,31627,09/03/2025 17:20
S02029,Storage Bins / Feed Storage,14215,11/03/2025 09:35
S02030,Rubber Matting (for stalls and walkways),20347,13/03/2025 17:15
S02031,Water Troughs / Water Buckets,8673,15/02/2025 13:21
S02032,Feed Buckets / Feed Tubs,9165,16/02/2025 17:56
S02033,Manure Scoops,21437,05/02/2025 18:41
S02034,Rubber Matting (for stalls and walkways),7091,06/03/2025 21:49
S02035,Manure Scoops,24153,21/02/2025 13:01
S02036,Feed Buckets / Feed Tubs,21082,12/02/2025 06:10
S02037,Manure Scoops,26766,13/02/2025 10:02
S02038,Stable Brooms / Yard Brushes,32784,21/02/2025 15:32
S02039,Storage Bins / Feed Storage,14215,11/03/2025 10:23
S02040,Rubber Matting (for stalls and walkways),17920,15/03/2025 16:11
S02041,Shovels / Rakes,16872,19/02/2025 13:28
S02042,Shovels / Rakes,15234,21/02/2025 16:49
S02043,Rubber Matting (for stalls and walkways),20347,13/03/2025 21:07
S02044,Muck Forks / Stable Forks,25707,13/02/2025 13:52
