id,supplier_id,order_date,promised_date,delivery_date,time_to_deliver,status
S00884,UKTools,17/01/2025,31/01/2025,31/01/2025,14,On-Time
S00885,EuroMat,17/01/2025,21/02/2025,22/02/2025,36,Delayed/Partial
S00886,AgroSupply,17/01/2025,06/02/2025,06/02/2025,20,On-Time
S00887,AsiaPlast,17/01/2025,21/01/2025,21/01/2025,4,On-Time
S00888,AsiaPlast,17/01/2025,22/01/2025,22/01/2025,5,On-Time
S00889,AsiaPlast,17/01/2025,26/01/2025,26/01/2025,9,On-Time
S00890,BarnWare,17/01/2025,29/01/2025,29/01/2025,12,On-Time
S00891,BarnWare,17/01/2025,23/01/2025,25/01/2025,8,Delayed/Partial
S00892,BarnWare,17/01/2025,23/01/2025,23/01/2025,6,On-Time
S00893,UKTools,17/01/2025,30/01/2025,30/01/2025,13,On-Time
S00894,UKTools,17/01/2025,27/01/2025,27/01/2025,10,On-Time
S00895,AgroSupply,17/01/2025,06/02/2025,06/02/2025,20,On-Time
S00896,BarnWare,17/01/2025,23/01/2025,24/01/2025,7,Delayed/Partial
S00897,AgroSupply,17/01/2025,18/02/2025,18/02/2025,32,On-Time
S00898,UKTools,17/01/2025,28/01/2025,28/01/2025,11,On-Time
S00899,UKTools,17/01/2025,27/01/2025,27/01/2025,10,On-Time
S00900,AsiaPlast,17/01/2025,24/01/2025,24/01/2025,7,On-Time
S00901,BarnWare,17/01/2025,27/01/2025,27/01/2025,10,On-Time
S00902,UKTools,17/01/2025,25/01/2025,25/01/2025,8,On-Time
S00903,BarnWare,17/01/2025,26/01/2025,27/01/2025,10,Delayed/Partial
S00904,AgroSupply,17/01/2025,17/02/2025,17/02/2025,31,On-Time
S00905,UKTools,17/01/2025,29/01/2025,29/01/2025,12,On-Time
S00906,AsiaPlast,17/01/2025,21/01/2025,20/01/2025,3,On-Time
S00907,EuroMat,17/01/2025,19/02/2025,19/02/2025,33,On-Time
S00908,AsiaPlast,17/01/2025,21/01/2025,21/01/2025,4,On-Time
S00909,BarnWare,17/01/2025,23/01/2025,23/01/2025,6,On-Time
S00910,AgroSupply,17/01/2025,07/02/2025,07/02/2025,21,On-Time
S00911,EuroMat,17/01/2025,04/02/2025,04/02/2025,18,On-Time
S00912,EuroMat,17/01/2025,15/02/2025,15/02/2025,29,On-Time
S00913,UKTools,17/01/2025,30/01/2025,02/02/2025,16,Delayed/Partial
S00914,EuroMat,17/01/2025,19/02/2025,15/01/2025,-2,On-Time
S00915,UKTools,17/01/2025,28/01/2025,28/01/2025,11,On-Time
S00916,AgroSupply,17/01/2025,18/02/2025,19/02/2025,33,Delayed/Partial
S00917,AgroSupply,17/01/2025,17/02/2025,17/02/2025,31,On-Time
S00918,BarnWare,17/01/2025,31/01/2025,31/01/2025,14,On-Time
S00919,BarnWare,17/01/2025,28/01/2025,28/01/2025,11,On-Time
S00920,UKTools,17/01/2025,23/01/2025,23/01/2025,6,On-Time
S00921,UKTools,17/01/2025,24/01/2025,21/01/2025,4,On-Time
S00922,EuroMat,17/01/2025,04/02/2025,04/02/2025,18,On-Time
S00923,AsiaPlast,17/01/2025,27/01/2025,29/01/2025,12,Delayed/Partial
S00924,UKTools,17/01/2025,30/01/2025,30/01/2025,13,On-Time
S00925,AsiaPlast,17/01/2025,26/01/2025,29/01/2025,12,Delayed/Partial
S00926,UKTools,17/01/2025,26/01/2025,26/01/2025,9,Mismatch
S00927,BarnWare,17/01/2025,29/01/2025,29/01/2025,12,Mismatch
S00928,AsiaPlast,17/01/2025,23/01/2025,24/01/2025,7,Delayed/Partial
S00929,AgroSupply,17/01/2025,14/02/2025,14/02/2025,28,On-Time
S00930,BarnWare,17/01/2025,29/01/2025,31/01/2025,14,Delayed/Partial
S00931,BarnWare,17/01/2025,29/01/2025,30/01/2025,13,Delayed/Partial
S00932,BarnWare,17/01/2025,23/01/2025,23/01/2025,6,On-Time
S00933,EuroMat,17/01/2025,20/02/2025,20/02/2025,34,On-Time
S00934,AsiaPlast,17/01/2025,27/01/2025,27/01/2025,10,On-Time
S00935,UKTools,17/01/2025,25/01/2025,25/01/2025,8,On-Time
S00936,AsiaPlast,17/01/2025,21/01/2025,20/01/2025,3,On-Time
S00937,AsiaPlast,17/01/2025,25/01/2025,25/01/2025,8,On-Time
S00938,UKTools,17/01/2025,31/01/2025,01/02/2025,15,Delayed/Partial
S00939,AsiaPlast,17/01/2025,21/01/2025,21/01/2025,4,On-Time
S00940,AgroSupply,17/01/2025,05/02/2025,06/02/2025,20,Delayed/Partial
S00941,AgroSupply,17/01/2025,14/02/2025,14/02/2025,28,On-Time
S00942,UKTools,17/01/2025,24/01/2025,24/01/2025,7,On-Time
S00943,AsiaPlast,18/01/2025,23/01/2025,22/01/2025,4,On-Time
S00944,AsiaPlast,18/01/2025,25/01/2025,25/01/2025,7,On-Time
S00945,AsiaPlast,18/01/2025,26/01/2025,26/01/2025,8,On-Time
S00946,UKTools,18/01/2025,25/01/2025,26/01/2025,8,Delayed/Partial
S00947,UKTools,18/01/2025,25/01/2025,26/01/2025,8,Delayed/Partial
S00948,AsiaPlast,18/01/2025,28/01/2025,28/01/2025,10,On-Time
S00949,UKTools,18/01/2025,31/01/2025,31/01/2025,13,On-Time
S00950,AgroSupply,18/01/2025,05/02/2025,05/02/2025,18,Mismatch
S00951,UKTools,18/01/2025,25/01/2025,25/01/2025,7,On-Time
S00952,BarnWare,18/01/2025,01/02/2025,04/02/2025,17,Delayed/Partial
S00953,BarnWare,18/01/2025,29/01/2025,29/01/2025,11,On-Time
S00954,EuroMat,18/01/2025,08/02/2025,08/02/2025,21,On-Time
S00955,EuroMat,18/01/2025,16/02/2025,16/02/2025,29,On-Time
S00956,BarnWare,18/01/2025,24/01/2025,24/01/2025,6,On-Time
S00957,AsiaPlast,18/01/2025,26/01/2025,26/01/2025,8,On-Time
S00958,EuroMat,18/01/2025,15/02/2025,15/02/2025,28,On-Time
S00959,BarnWare,18/01/2025,29/01/2025,30/01/2025,12,Delayed/Partial
S00960,AsiaPlast,18/01/2025,26/01/2025,26/01/2025,8,On-Time
S00961,AgroSupply,18/01/2025,22/02/2025,23/02/2025,36,Delayed/Partial
S00962,BarnWare,18/01/2025,01/02/2025,01/02/2025,14,On-Time
S00963,EuroMat,18/01/2025,17/02/2025,17/02/2025,30,On-Time
S00964,AsiaPlast,18/01/2025,27/01/2025,27/01/2025,9,On-Time
S00965,AsiaPlast,18/01/2025,23/01/2025,23/01/2025,5,On-Time
S00966,AgroSupply,18/01/2025,22/02/2025,22/02/2025,35,On-Time
S00967,AgroSupply,18/01/2025,11/02/2025,11/02/2025,24,On-Time
S00968,EuroMat,18/01/2025,19/02/2025,20/02/2025,33,Delayed/Partial
S00969,UKTools,18/01/2025,01/02/2025,31/01/2025,13,On-Time
S00970,UKTools,18/01/2025,26/01/2025,27/01/2025,9,Delayed/Partial
S00971,AgroSupply,18/01/2025,09/02/2025,09/02/2025,22,On-Time
S00972,AsiaPlast,18/01/2025,25/01/2025,25/01/2025,7,On-Time
S00973,EuroMat,18/01/2025,22/02/2025,22/02/2025,35,On-Time
S00974,EuroMat,18/01/2025,10/02/2025,10/02/2025,23,On-Time
S00975,BarnWare,18/01/2025,27/01/2025,27/01/2025,9,On-Time
S00976,UKTools,18/01/2025,31/01/2025,03/02/2025,16,Delayed/Partial
S00977,UKTools,18/01/2025,31/01/2025,03/02/2025,16,Delayed/Partial
S00978,BarnWare,18/01/2025,30/01/2025,31/01/2025,13,Delayed/Partial
S00979,AsiaPlast,18/01/2025,24/01/2025,24/01/2025,6,On-Time
S00980,UKTools,18/01/2025,01/02/2025,02/02/2025,15,Delayed/Partial
S00981,EuroMat,18/01/2025,20/02/2025,21/02/2025,34,Delayed/Partial
S00982,AsiaPlast,18/01/2025,25/01/2025,26/01/2025,8,Delayed/Partial
S00983,AsiaPlast,18/01/2025,26/01/2025,26/01/2025,8,On-Time
S00984,AsiaPlast,18/01/2025,26/01/2025,25/01/2025,7,On-Time
S00985,AsiaPlast,18/01/2025,28/01/2025,28/01/2025,10,On-Time
S00986,AgroSupply,18/01/2025,22/02/2025,22/02/2025,35,Mismatch
S00987,EuroMat,18/01/2025,06/02/2025,06/02/2025,19,On-Time
S00988,AgroSupply,18/01/2025,14/02/2025,14/02/2025,27,On-Time
S00989,AsiaPlast,18/01/2025,25/01/2025,25/01/2025,7,On-Time
S00990,AsiaPlast,18/01/2025,22/01/2025,22/01/2025,4,On-Time
S00991,EuroMat,18/01/2025,15/02/2025,17/02/2025,30,Delayed/Partial
S00992,AgroSupply,18/01/2025,10/02/2025,09/02/2025,22,On-Time
S00993,EuroMat,18/01/2025,05/02/2025,06/02/2025,19,Delayed/Partial
S00994,AsiaPlast,18/01/2025,25/01/2025,25/01/2025,7,On-Time
S00995,UKTools,18/01/2025,31/01/2025,01/02/2025,14,Delayed/Partial
S00996,AgroSupply,18/01/2025,08/02/2025,07/02/2025,20,On-Time
S00997,AsiaPlast,18/01/2025,25/01/2025,25/01/2025,7,On-Time
S00998,BarnWare,18/01/2025,28/01/2025,28/01/2025,10,On-Time
S00999,UKTools,18/01/2025,24/01/2025,24/01/2025,6,On-Time
S01000,BarnWare,18/01/2025,27/01/2025,27/01/2025,9,On-Time
S01001,AsiaPlast,18/01/2025,22/01/2025,21/01/2025,3,On-Time
S01002,BarnWare,18/01/2025,28/01/2025,30/01/2025,12,Delayed/Partial
S01003,AsiaPlast,18/01/2025,24/01/2025,24/01/2025,6,On-Time
S01004,UKTools,18/01/2025,26/01/2025,28/01/2025,10,Delayed/Partial
S01005,UKTools,19/01/2025,02/02/2025,02/02/2025,14,On-Time
S01006,BarnWare,19/01/2025,27/01/2025,27/01/2025,8,On-Time
S01007,EuroMat,19/01/2025,07/02/2025,07/02/2025,19,On-Time
S01008,BarnWare,19/01/2025,01/02/2025,01/02/2025,13,On-Time
S01009,AsiaPlast,19/01/2025,25/01/2025,25/01/2025,6,On-Time
S01010,AgroSupply,19/01/2025,11/02/2025,11/02/2025,23,On-Time
S01011,UKTools,19/01/2025,25/01/2025,27/01/2025,8,Delayed/Partial
S01012,AsiaPlast,19/01/2025,23/01/2025,23/01/2025,4,On-Time
S01013,EuroMat,19/01/2025,06/02/2025,06/02/2025,18,On-Time
S01014,AgroSupply,19/01/2025,18/02/2025,19/02/2025,31,Delayed/Partial
S01015,AsiaPlast,19/01/2025,25/01/2025,25/01/2025,6,On-Time
S01016,AgroSupply,19/01/2025,21/02/2025,22/02/2025,34,Delayed/Partial
S01017,AgroSupply,19/01/2025,18/02/2025,18/02/2025,30,On-Time
S01018,UKTools,19/01/2025,25/01/2025,25/01/2025,6,On-Time
S01019,UKTools,19/01/2025,02/02/2025,02/02/2025,14,On-Time
S01020,EuroMat,19/01/2025,19/02/2025,19/02/2025,31,On-Time
S01021,AsiaPlast,19/01/2025,29/01/2025,29/01/2025,10,On-Time
S01022,EuroMat,19/01/2025,14/02/2025,14/02/2025,26,On-Time
S01023,BarnWare,19/01/2025,28/01/2025,29/01/2025,10,Delayed/Partial
S01024,BarnWare,19/01/2025,30/01/2025,30/01/2025,11,On-Time
S01025,AsiaPlast,19/01/2025,25/01/2025,26/01/2025,7,Delayed/Partial
S01026,EuroMat,19/01/2025,14/02/2025,14/02/2025,26,On-Time
S01027,BarnWare,19/01/2025,01/02/2025,01/02/2025,13,On-Time
S01028,AgroSupply,19/01/2025,17/02/2025,17/02/2025,29,On-Time
S01029,UKTools,19/01/2025,02/02/2025,02/02/2025,14,On-Time
S01030,EuroMat,19/01/2025,22/02/2025,23/02/2025,35,Delayed/Partial
S01031,EuroMat,19/01/2025,13/02/2025,14/02/2025,26,Delayed/Partial
S01032,AsiaPlast,19/01/2025,27/01/2025,27/01/2025,8,Mismatch
S01033,BarnWare,19/01/2025,01/02/2025,01/02/2025,13,On-Time
S01034,AsiaPlast,19/01/2025,25/01/2025,25/01/2025,6,On-Time
S01035,AgroSupply,19/01/2025,10/02/2025,15/02/2025,27,Delayed/Partial
S01036,UKTools,19/01/2025,26/01/2025,26/01/2025,7,On-Time
S01037,EuroMat,19/01/2025,17/02/2025,17/02/2025,29,On-Time
S01038,AsiaPlast,19/01/2025,28/01/2025,28/01/2025,9,On-Time
S01039,AsiaPlast,19/01/2025,27/01/2025,26/01/2025,7,On-Time
S01040,BarnWare,19/01/2025,25/01/2025,25/01/2025,6,On-Time
S01041,EuroMat,19/01/2025,11/02/2025,11/02/2025,23,On-Time
S01042,EuroMat,19/01/2025,07/02/2025,08/02/2025,20,Delayed/Partial
S01043,UKTools,19/01/2025,26/01/2025,26/01/2025,7,On-Time
S01044,UKTools,19/01/2025,27/01/2025,27/01/2025,8,On-Time
S01045,AsiaPlast,19/01/2025,24/01/2025,24/01/2025,5,On-Time
S01046,EuroMat,19/01/2025,19/02/2025,19/02/2025,31,On-Time
S01047,EuroMat,19/01/2025,15/02/2025,15/02/2025,27,On-Time
S01048,AsiaPlast,19/01/2025,23/01/2025,23/01/2025,4,On-Time
S01049,UKTools,19/01/2025,02/02/2025,02/02/2025,14,Mismatch
S01050,AsiaPlast,19/01/2025,25/01/2025,25/01/2025,6,Mismatch
S01051,EuroMat,19/01/2025,17/02/2025,17/02/2025,29,On-Time
S01052,AgroSupply,19/01/2025,13/02/2025,13/02/2025,25,On-Time
S01053,AsiaPlast,19/01/2025,28/01/2025,28/01/2025,9,On-Time
S01054,BarnWare,19/01/2025,31/01/2025,31/01/2025,12,On-Time
S01055,EuroMat,20/01/2025,14/02/2025,14/02/2025,25,On-Time
S01056,AgroSupply,20/01/2025,09/02/2025,09/02/2025,20,On-Time
S01057,UKTools,20/01/2025,28/01/2025,28/01/2025,8,On-Time
S01058,AsiaPlast,20/01/2025,25/01/2025,26/01/2025,6,Delayed/Partial
S01059,EuroMat,20/01/2025,19/02/2025,21/02/2025,32,Delayed/Partial
S01060,EuroMat,20/01/2025,23/02/2025,23/02/2025,34,On-Time
S01061,EuroMat,20/01/2025,24/02/2025,24/02/2025,35,On-Time
S01062,UKTools,20/01/2025,26/01/2025,26/01/2025,6,On-Time
S01063,UKTools,20/01/2025,29/01/2025,28/01/2025,8,Mismatch
S01064,AgroSupply,20/01/2025,18/02/2025,17/01/2025,-3,On-Time
S01065,UKTools,20/01/2025,31/01/2025,31/01/2025,11,On-Time
S01066,AsiaPlast,20/01/2025,24/01/2025,25/01/2025,5,Delayed/Partial
S01067,UKTools,20/01/2025,26/01/2025,26/01/2025,6,On-Time
S01068,UKTools,20/01/2025,30/01/2025,30/01/2025,10,On-Time
S01069,AsiaPlast,20/01/2025,29/01/2025,29/01/2025,9,On-Time
S01070,AgroSupply,20/01/2025,20/02/2025,19/02/2025,30,On-Time
S01071,AsiaPlast,20/01/2025,28/01/2025,28/01/2025,8,On-Time
S01072,AgroSupply,20/01/2025,24/02/2025,24/02/2025,35,On-Time
S01073,AsiaPlast,20/01/2025,29/01/2025,30/01/2025,10,Delayed/Partial
S01074,BarnWare,20/01/2025,01/02/2025,02/02/2025,13,Delayed/Partial
S01075,UKTools,20/01/2025,30/01/2025,30/01/2025,10,On-Time
S01076,UKTools,20/01/2025,03/02/2025,03/02/2025,14,On-Time
S01077,BarnWare,20/01/2025,01/02/2025,01/02/2025,12,On-Time
S01078,UKTools,20/01/2025,26/01/2025,26/01/2025,6,On-Time
S01079,BarnWare,20/01/2025,28/01/2025,28/01/2025,8,On-Time
S01080,BarnWare,20/01/2025,28/01/2025,28/01/2025,8,On-Time
S01081,BarnWare,20/01/2025,27/01/2025,27/01/2025,7,On-Time
S01082,AgroSupply,20/01/2025,09/02/2025,11/02/2025,22,Delayed/Partial
S01083,UKTools,20/01/2025,28/01/2025,29/01/2025,9,Delayed/Partial
S01084,EuroMat,20/01/2025,09/02/2025,09/02/2025,20,On-Time
S01085,AsiaPlast,20/01/2025,29/01/2025,28/01/2025,8,On-Time
S01086,UKTools,20/01/2025,02/02/2025,02/02/2025,13,On-Time
S01087,BarnWare,20/01/2025,27/01/2025,27/01/2025,7,On-Time
S01088,BarnWare,20/01/2025,01/02/2025,01/02/2025,12,On-Time
S01089,EuroMat,20/01/2025,12/02/2025,12/02/2025,23,On-Time
S01090,AsiaPlast,20/01/2025,30/01/2025,30/01/2025,10,On-Time
S01091,AgroSupply,20/01/2025,13/02/2025,13/02/2025,24,On-Time
S01092,AsiaPlast,20/01/2025,27/01/2025,27/01/2025,7,On-Time
S01093,AgroSupply,20/01/2025,13/02/2025,13/02/2025,24,On-Time
S01094,UKTools,20/01/2025,30/01/2025,30/01/2025,10,On-Time
S01095,AgroSupply,20/01/2025,24/02/2025,24/02/2025,35,On-Time
S01096,BarnWare,20/01/2025,26/01/2025,26/01/2025,6,Mismatch
S01097,AsiaPlast,20/01/2025,24/01/2025,24/01/2025,4,On-Time
S01098,EuroMat,20/01/2025,24/02/2025,25/02/2025,36,Delayed/Partial
S01099,AsiaPlast,20/01/2025,28/01/2025,28/01/2025,8,On-Time
S01100,EuroMat,20/01/2025,07/02/2025,06/02/2025,17,On-Time
S01101,UKTools,20/01/2025,01/02/2025,02/02/2025,13,Delayed/Partial
S01102,EuroMat,20/01/2025,12/02/2025,12/02/2025,23,On-Time
S01103,BarnWare,20/01/2025,01/02/2025,01/02/2025,12,On-Time
S01104,UKTools,20/01/2025,27/01/2025,28/01/2025,8,Delayed/Partial
S01105,UKTools,20/01/2025,28/01/2025,29/01/2025,9,Delayed/Partial
S01106,AsiaPlast,20/01/2025,26/01/2025,26/01/2025,6,On-Time
S01107,AgroSupply,20/01/2025,09/02/2025,06/02/2025,17,On-Time
S01108,AsiaPlast,20/01/2025,30/01/2025,01/02/2025,12,Delayed/Partial
S01109,UKTools,21/01/2025,01/02/2025,01/02/2025,11,On-Time
S01110,UKTools,21/01/2025,03/02/2025,03/02/2025,13,On-Time
S01111,BarnWare,21/01/2025,03/02/2025,02/02/2025,12,On-Time
S01112,BarnWare,21/01/2025,30/01/2025,29/01/2025,8,On-Time
S01113,AsiaPlast,21/01/2025,27/01/2025,28/01/2025,7,Delayed/Partial
S01114,EuroMat,21/01/2025,17/02/2025,16/02/2025,26,On-Time
S01115,UKTools,21/01/2025,01/02/2025,01/02/2025,11,On-Time
S01116,AsiaPlast,21/01/2025,30/01/2025,30/01/2025,9,On-Time
S01117,UKTools,21/01/2025,29/01/2025,29/01/2025,8,On-Time
S01118,BarnWare,21/01/2025,27/01/2025,27/01/2025,6,On-Time
S01119,UKTools,21/01/2025,04/02/2025,04/02/2025,14,On-Time
S01120,AsiaPlast,21/01/2025,25/01/2025,26/01/2025,5,Delayed/Partial
S01121,EuroMat,21/01/2025,25/02/2025,25/02/2025,35,Mismatch
S01122,UKTools,21/01/2025,29/01/2025,01/02/2025,11,Delayed/Partial
S01123,BarnWare,21/01/2025,01/02/2025,01/02/2025,11,On-Time
S01124,UKTools,21/01/2025,30/01/2025,30/01/2025,9,On-Time
S01125,UKTools,21/01/2025,04/02/2025,05/02/2025,15,Delayed/Partial
S01126,UKTools,21/01/2025,30/01/2025,30/01/2025,9,On-Time
S01127,UKTools,21/01/2025,03/02/2025,03/02/2025,13,On-Time
S01128,EuroMat,21/01/2025,08/02/2025,08/02/2025,18,On-Time
S01129,BarnWare,21/01/2025,27/01/2025,27/01/2025,6,On-Time
S01130,BarnWare,21/01/2025,01/02/2025,31/01/2025,10,Mismatch
S01131,AgroSupply,21/01/2025,10/02/2025,10/02/2025,20,On-Time
S01132,BarnWare,21/01/2025,01/02/2025,01/02/2025,11,On-Time
S01133,UKTools,21/01/2025,29/01/2025,30/01/2025,9,Delayed/Partial
S01134,EuroMat,21/01/2025,21/02/2025,21/02/2025,31,On-Time
S01135,AgroSupply,21/01/2025,15/02/2025,14/02/2025,24,On-Time
S01136,UKTools,21/01/2025,01/02/2025,01/02/2025,11,On-Time
S01137,BarnWare,21/01/2025,03/02/2025,03/02/2025,13,On-Time
S01138,BarnWare,21/01/2025,01/02/2025,02/02/2025,12,Delayed/Partial
S01139,EuroMat,21/01/2025,20/02/2025,20/02/2025,30,On-Time
S01140,NULL,21/01/2025,23/02/2025,23/02/2025,33,On-Time
S01141,BarnWare,21/01/2025,31/01/2025,31/01/2025,10,On-Time
S01142,AgroSupply,21/01/2025,13/02/2025,14/02/2025,24,Delayed/Partial
S01143,EuroMat,21/01/2025,13/02/2025,13/02/2025,23,On-Time
S01144,EuroMat,21/01/2025,18/02/2025,18/02/2025,28,On-Time
S01145,BarnWare,21/01/2025,27/01/2025,28/01/2025,7,Delayed/Partial
S01146,EuroMat,21/01/2025,23/02/2025,23/02/2025,33,On-Time
S01147,UKTools,21/01/2025,01/02/2025,01/02/2025,11,On-Time
S01148,AgroSupply,21/01/2025,24/02/2025,24/02/2025,34,On-Time
S01149,BarnWare,21/01/2025,28/01/2025,28/01/2025,7,On-Time
S01150,EuroMat,21/01/2025,08/02/2025,08/02/2025,18,On-Time
S01151,AsiaPlast,21/01/2025,30/01/2025,30/01/2025,9,On-Time
S01152,AgroSupply,21/01/2025,23/02/2025,20/01/2025,-1,On-Time
S01153,AgroSupply,21/01/2025,14/02/2025,16/02/2025,26,Delayed/Partial
S01154,AsiaPlast,21/01/2025,30/01/2025,29/01/2025,8,On-Time
S01155,BarnWare,21/01/2025,04/02/2025,04/02/2025,14,On-Time
S01156,EuroMat,21/01/2025,24/02/2025,24/02/2025,34,On-Time
S01157,AgroSupply,21/01/2025,09/02/2025,09/02/2025,19,On-Time
S01158,EuroMat,21/01/2025,17/02/2025,18/02/2025,28,Delayed/Partial
S01159,AgroSupply,21/01/2025,16/02/2025,16/02/2025,26,On-Time
S01160,BarnWare,21/01/2025,01/02/2025,31/01/2025,10,On-Time
S01161,BarnWare,21/01/2025,27/01/2025,27/01/2025,6,On-Time
S01162,AsiaPlast,21/01/2025,30/01/2025,31/01/2025,10,Delayed/Partial
S01163,AsiaPlast,21/01/2025,26/01/2025,26/01/2025,5,On-Time
S01164,UKTools,21/01/2025,28/01/2025,29/01/2025,8,Delayed/Partial
S01165,UKTools,22/01/2025,28/01/2025,28/01/2025,6,On-Time
S01166,EuroMat,22/01/2025,13/02/2025,13/02/2025,22,On-Time
S01167,AsiaPlast,22/01/2025,30/01/2025,30/01/2025,8,On-Time
S01168,EuroMat,22/01/2025,10/02/2025,10/02/2025,19,On-Time
S01169,EuroMat,22/01/2025,13/02/2025,13/02/2025,22,On-Time
S01170,EuroMat,22/01/2025,10/02/2025,11/02/2025,20,Delayed/Partial
S01171,AgroSupply,22/01/2025,12/02/2025,12/02/2025,21,On-Time
S01172,UKTools,22/01/2025,30/01/2025,31/01/2025,9,Delayed/Partial
S01173,BarnWare,22/01/2025,04/02/2025,04/02/2025,13,On-Time
S01174,BarnWare,22/01/2025,05/02/2025,02/02/2025,11,On-Time
S01175,AsiaPlast,22/01/2025,29/01/2025,29/01/2025,7,On-Time
S01176,BarnWare,22/01/2025,28/01/2025,28/01/2025,6,On-Time
S01177,AgroSupply,22/01/2025,17/02/2025,20/02/2025,29,Delayed/Partial
S01178,UKTools,22/01/2025,03/02/2025,03/02/2025,12,Mismatch
S01179,AsiaPlast,22/01/2025,01/02/2025,01/02/2025,10,On-Time
S01180,AsiaPlast,22/01/2025,26/01/2025,27/01/2025,5,Delayed/Partial
S01181,UKTools,22/01/2025,31/01/2025,31/01/2025,9,On-Time
S01182,AgroSupply,22/01/2025,11/02/2025,11/02/2025,20,On-Time
S01183,BarnWare,22/01/2025,04/02/2025,04/02/2025,13,On-Time
S01184,BarnWare,22/01/2025,31/01/2025,31/01/2025,9,On-Time
S01185,UKTools,22/01/2025,02/02/2025,02/02/2025,11,On-Time
S01186,EuroMat,22/01/2025,12/02/2025,12/02/2025,21,On-Time
S01187,BarnWare,22/01/2025,05/02/2025,05/02/2025,14,On-Time
S01188,AsiaPlast,22/01/2025,26/01/2025,26/01/2025,4,On-Time
S01189,BarnWare,22/01/2025,04/02/2025,05/02/2025,14,Delayed/Partial
S01190,AgroSupply,22/01/2025,22/02/2025,22/02/2025,31,On-Time
S01191,AgroSupply,22/01/2025,09/02/2025,09/02/2025,18,On-Time
S01192,BarnWare,22/01/2025,31/01/2025,31/01/2025,9,On-Time
S01193,EuroMat,22/01/2025,17/02/2025,14/02/2025,23,On-Time
S01194,BarnWare,22/01/2025,28/01/2025,28/01/2025,6,On-Time
S01195,EuroMat,22/01/2025,24/02/2025,24/02/2025,33,On-Time
S01196,EuroMat,22/01/2025,09/02/2025,09/02/2025,18,On-Time
S01197,AgroSupply,22/01/2025,09/02/2025,09/02/2025,18,On-Time
S01198,BarnWare,22/01/2025,28/01/2025,29/01/2025,7,Delayed/Partial
S01199,BarnWare,22/01/2025,01/02/2025,29/01/2025,7,On-Time
S01200,BarnWare,22/01/2025,04/02/2025,05/02/2025,14,Delayed/Partial
S01201,AsiaPlast,22/01/2025,30/01/2025,30/01/2025,8,On-Time
S01202,AsiaPlast,22/01/2025,31/01/2025,31/01/2025,9,On-Time
S01203,UKTools,22/01/2025,05/02/2025,05/02/2025,14,On-Time
S01204,UKTools,22/01/2025,30/01/2025,30/01/2025,8,On-Time
S01205,AsiaPlast,22/01/2025,01/02/2025,01/02/2025,10,On-Time
S01206,AsiaPlast,22/01/2025,26/01/2025,26/01/2025,4,On-Time
S01207,BarnWare,22/01/2025,31/01/2025,01/02/2025,10,Delayed/Partial
S01208,AsiaPlast,22/01/2025,31/01/2025,31/01/2025,9,On-Time
S01209,AsiaPlast,22/01/2025,30/01/2025,30/01/2025,8,On-Time
S01210,EuroMat,22/01/2025,13/02/2025,13/02/2025,22,On-Time
S01211,AsiaPlast,22/01/2025,28/01/2025,29/01/2025,7,Delayed/Partial
S01212,EuroMat,22/01/2025,15/02/2025,15/02/2025,24,On-Time
S01213,AsiaPlast,22/01/2025,28/01/2025,28/01/2025,6,On-Time
S01214,BarnWare,22/01/2025,01/02/2025,01/02/2025,10,On-Time
S01215,EuroMat,22/01/2025,19/02/2025,19/02/2025,28,On-Time
S01216,BarnWare,22/01/2025,05/02/2025,05/02/2025,14,On-Time
S01217,BarnWare,22/01/2025,30/01/2025,30/01/2025,8,On-Time
S01218,AsiaPlast,23/01/2025,31/01/2025,31/01/2025,8,On-Time
S01219,EuroMat,23/01/2025,15/02/2025,15/02/2025,23,On-Time
S01220,AgroSupply,23/01/2025,16/02/2025,16/02/2025,24,On-Time
S01221,EuroMat,23/01/2025,14/02/2025,15/02/2025,23,Delayed/Partial
S01222,UKTools,23/01/2025,04/02/2025,04/02/2025,12,On-Time
S01223,EuroMat,23/01/2025,27/02/2025,27/02/2025,35,On-Time
S01224,BarnWare,23/01/2025,30/01/2025,01/02/2025,9,Delayed/Partial
S01225,BarnWare,23/01/2025,03/02/2025,03/02/2025,11,On-Time
S01226,BarnWare,23/01/2025,01/02/2025,01/02/2025,9,On-Time
S01227,EuroMat,23/01/2025,24/02/2025,25/02/2025,33,Delayed/Partial
S01228,AsiaPlast,23/01/2025,27/01/2025,30/01/2025,7,Delayed/Partial
S01229,BarnWare,23/01/2025,05/02/2025,05/02/2025,13,On-Time
S01230,AgroSupply,23/01/2025,24/02/2025,24/02/2025,32,On-Time
S01231,AsiaPlast,23/01/2025,31/01/2025,31/01/2025,8,On-Time
S01232,BarnWare,23/01/2025,03/02/2025,04/02/2025,12,Delayed/Partial
S01233,BarnWare,23/01/2025,01/02/2025,04/02/2025,12,Delayed/Partial
S01234,UKTools,23/01/2025,29/01/2025,30/01/2025,7,Delayed/Partial
S01235,AsiaPlast,23/01/2025,27/01/2025,27/01/2025,4,On-Time
S01236,EuroMat,23/01/2025,14/02/2025,14/02/2025,22,Mismatch
S01237,AgroSupply,23/01/2025,13/02/2025,14/02/2025,22,Delayed/Partial
