shipment_id,product_id,units_ordered,units_received,unit_cost_GBP,freight_cost_GBP
S02735,Water Troughs / Water Buckets,4914,4914,25.65,2095.15
S02736,Stable Brooms / Yard Brushes,3135,3135,14.55,1210.63
S02737,Manure Scoops,4047,4047,29.01,945.24
S02738,Rubber Matting (for stalls and walkways),2682,2682,18.86,2024.66
S02739,Hay Nets / Hay Bags,4026,4026,17.82,1938.29
S02740,Muck Forks / Stable Forks,2188,2188,18,411.64
S02741,Manure Scoops,1802,1802,4.59,873.42
S02742,Feed Buckets / Feed Tubs,2194,2194,8.07,2116.78
S02743,Stable Brooms / Yard Brushes,1078,1078,5.26,2419.27
S02744,Feed Buckets / Feed Tubs,4045,4045,6.3,692.72
S02745,Shovels / Rakes,4342,4342,27.79,383.57
S02746,Rubber Matting (for stalls and walkways),3030,3030,28.7,1318.56
S02747,Shovels / Rakes,566,566,28.97,2248.57
S02748,Hay Nets / Hay Bags,519,519,34.97,2490.19
S02749,Feed Buckets / Feed Tubs,2844,2555,25.39,1479.55
S02750,Water Troughs / Water Buckets,3765,3765,17.41,1054.08
S02751,Stable Brooms / Yard Brushes,4002,4002,11.61,1213.35
S02752,Storage Bins / Feed Storage,331,331,14.57,952.39
S02753,Muck Forks / Stable Forks,3859,3859,12.82,494.48
S02754,Water Troughs / Water Buckets,4089,4089,28.68,108.77
S02755,Rubber Matting (for stalls and walkways),872,872,2.66,314.14
S02756,Manure Scoops,4848,4848,34.58,446.49
S02757,Rubber Matting (for stalls and walkways),2903,2903,12.59,1103.23
S02758,Stable Brooms / Yard Brushes,749,749,30.94,809.03
S02759,Shovels / Rakes,138,138,4.08,596.02
S02760,Feed Buckets / Feed Tubs,2584,2584,19.63,586.79
S02761,Hay Nets / Hay Bags,2321,2138,6.18,1329.19
S02762,Manure Scoops,2403,2403,26.15,1534.19
S02763,Feed Buckets / Feed Tubs,1587,1587,12.15,1881.23
S02764,Stable Brooms / Yard Brushes,4142,4042,34.02,1583.78
S02765,Manure Scoops,421,421,4.78,2247.93
S02766,Hay Nets / Hay Bags,3176,3176,4.44,340.06
S02767,Water Troughs / Water Buckets,3801,3801,30.66,778.87
S02768,Manure Scoops,3230,3230,11.6,851.22
S02769,Stable Brooms / Yard Brushes,2259,2259,30.48,2053.97
S02770,Stable Brooms / Yard Brushes,2390,2390,5,1138.66
S02771,Water Troughs / Water Buckets,936,936,19.77,896.59
S02772,Rubber Matting (for stalls and walkways),337,337,13.81,2250.62
S02773,Water Troughs / Water Buckets,2265,2265,34.43,1915.97
S02774,Manure Scoops,4874,4874,3.07,1651.37
S02775,Hay Nets / Hay Bags,1922,1922,7.46,2163.1
S02776,Storage Bins / Feed Storage,2554,2554,22.28,2436.62
S02777,Water Troughs / Water Buckets,2929,2929,13.77,2028.07
S02778,Muck Forks / Stable Forks,1287,1287,20.59,1818.14
S02779,Storage Bins / Feed Storage,3192,3192,2.59,2124.68
S02780,Shovels / Rakes,2103,2103,10.38,2188.27
S02781,Water Troughs / Water Buckets,3633,3633,27.16,697.84
S02782,Stable Brooms / Yard Brushes,681,681,4.44,2304.12
S02783,Feed Buckets / Feed Tubs,4265,4265,1.46,1099.02
S02784,Shovels / Rakes,329,329,1.69,312.44
S02785,Feed Buckets / Feed Tubs,2252,2252,34.63,1039.2
S02786,Storage Bins / Feed Storage,268,268,32.24,1095.04
S02787,Storage Bins / Feed Storage,814,814,NULL,186.01
S02788,Hay Nets / Hay Bags,4526,4526,6.9,1835.04
S02789,Feed Buckets / Feed Tubs,2636,2636,20.47,625.56
S02790,Manure Scoops,2232,2232,31.28,827.23
S02791,Hay Nets / Hay Bags,3641,3641,3.3,2314.29
S02792,Water Troughs / Water Buckets,4595,4595,34.68,540.91
S02793,Shovels / Rakes,4474,4474,24.52,269.43
S02794,Feed Buckets / Feed Tubs,4800,4800,33.87,1555.98
S02795,Water Troughs / Water Buckets,2465,2465,3.25,2379.57
S02796,Stable Brooms / Yard Brushes,1123,1123,31.5,2059.55
S02797,Hay Nets / Hay Bags,2167,2167,23.42,849.33
S02798,Rubber Matting (for stalls and walkways),736,736,1.36,607.38
S02799,Feed Buckets / Feed Tubs,486,486,28.17,1972.22
S02800,Storage Bins / Feed Storage,3306,3306,34.79,146.29
S02801,Stable Brooms / Yard Brushes,2684,2684,24.04,504.67
S02802,Stable Brooms / Yard Brushes,1229,1229,7.6,1250.85
S02803,Feed Buckets / Feed Tubs,1167,1167,20.87,733.09
S02804,Muck Forks / Stable Forks,2754,2754,24.73,740.36
S02805,Manure Scoops,859,859,24.45,1175.17
S02806,Stable Brooms / Yard Brushes,2348,2348,21.01,150.64
S02807,Stable Brooms / Yard Brushes,2214,2027,15.3,1486.59
S02808,Muck Forks / Stable Forks,497,497,12.16,1152.17
S02809,Feed Buckets / Feed Tubs,3416,3416,9.14,323.53
S02810,Shovels / Rakes,687,687,27.13,1230.85
S02811,Manure Scoops,3360,3360,16.77,125.41
S02812,Hay Nets / Hay Bags,975,975,33.46,814.31
S02813,Muck Forks / Stable Forks,4890,4890,6.83,867.49
S02814,Muck Forks / Stable Forks,2906,2906,31.41,1357.27
S02815,Storage Bins / Feed Storage,3112,3112,25.04,1483.33
S02816,Stable Brooms / Yard Brushes,1570,1570,34.48,933.8
S02817,Rubber Matting (for stalls and walkways),185,185,15.19,2117.81
S02818,Storage Bins / Feed Storage,4514,4514,1.79,1449.23
S02819,Stable Brooms / Yard Brushes,901,901,29.54,940.31
S02820,Stable Brooms / Yard Brushes,3375,3375,20.54,1077.39
S02821,Feed Buckets / Feed Tubs,4211,4211,17.79,702.34
S02822,Hay Nets / Hay Bags,1226,1226,33.16,959.9
S02823,Stable Brooms / Yard Brushes,3817,3817,16.35,891.03
S02824,Stable Brooms / Yard Brushes,2556,2556,18.96,1935.24
S02825,Muck Forks / Stable Forks,4266,4266,13.02,745.54
S02826,Hay Nets / Hay Bags,3120,3120,19.05,1568.39
S02827,Water Troughs / Water Buckets,4091,4091,29.56,626.7
S02828,Shovels / Rakes,534,534,26.73,2201
S02829,Stable Brooms / Yard Brushes,3224,3224,24.84,1267.26
S02830,Stable Brooms / Yard Brushes,1470,1470,12.76,1606.74
S02831,Water Troughs / Water Buckets,2500,2500,3.73,2451.13
S02832,Rubber Matting (for stalls and walkways),235,235,32.38,1545.44
S02833,Manure Scoops,291,291,32.82,2125.13
S02834,Rubber Matting (for stalls and walkways),2153,2153,19.71,1833.58
S02835,Storage Bins / Feed Storage,3452,3452,33.32,2176.76
S02836,Feed Buckets / Feed Tubs,963,963,34.21,1814.71
S02837,Muck Forks / Stable Forks,4374,4374,0.89,43.82
S02838,Muck Forks / Stable Forks,520,520,26.92,2100.52
S02839,Shovels / Rakes,3599,3350,20.96,1991.63
S02840,Manure Scoops,2006,2006,3.89,2137.89
S02841,Water Troughs / Water Buckets,1039,1039,3.81,2298.32
S02842,Muck Forks / Stable Forks,1173,1173,28.74,705.97
S02843,Storage Bins / Feed Storage,4977,4977,6.51,1843.09
S02844,Storage Bins / Feed Storage,4415,4415,15.16,1156.98
S02845,Feed Buckets / Feed Tubs,2775,2775,11.19,1123.11
S02846,Hay Nets / Hay Bags,2614,2614,3.84,946.32
S02847,Hay Nets / Hay Bags,157,157,23.1,2272.35
S02848,Stable Brooms / Yard Brushes,2150,2150,1.15,1691.47
S02849,Stable Brooms / Yard Brushes,1696,1696,28.42,840.55
S02850,Hay Nets / Hay Bags,2154,2154,4.42,1155.88
S02851,Stable Brooms / Yard Brushes,3754,3754,7.82,1599.1
S02852,Hay Nets / Hay Bags,2217,2217,6.07,563.07
S02853,Water Troughs / Water Buckets,3724,3724,23.94,1280.33
S02854,Shovels / Rakes,1212,1212,30.17,1389.53
S02855,Stable Brooms / Yard Brushes,3313,3313,7.37,1375.25
S02856,Rubber Matting (for stalls and walkways),1035,1035,23.75,561.52
S02857,Storage Bins / Feed Storage,100,100,31.87,1231.41
S02858,Water Troughs / Water Buckets,2360,2360,4.49,475.89
S02859,Rubber Matting (for stalls and walkways),3614,3614,30.57,2453.39
S02860,Muck Forks / Stable Forks,1106,1106,30.34,1548.22
S02861,Shovels / Rakes,1715,1715,28.63,1199.32
S02862,Stable Brooms / Yard Brushes,2025,2025,33.69,169.62
S02863,Water Troughs / Water Buckets,3608,3533,13.62,2282.64
S02864,Shovels / Rakes,4165,4165,26.65,748.86
S02865,Water Troughs / Water Buckets,3826,3826,27.14,32.41
S02866,Manure Scoops,273,273,27.16,2226.97
S02867,Rubber Matting (for stalls and walkways),1748,1748,20.93,688.85
S02868,Manure Scoops,2860,2558,8.42,527.35
S02869,Feed Buckets / Feed Tubs,2117,2117,18.25,1254.18
S02870,Feed Buckets / Feed Tubs,3224,3224,2.18,1333.74
S02871,Rubber Matting (for stalls and walkways),2714,2714,33.76,401.36
S02872,Stable Brooms / Yard Brushes,566,566,21.24,NULL
S02873,Water Troughs / Water Buckets,1732,1732,6.47,883.11
S02874,Hay Nets / Hay Bags,4255,4255,31.14,1043.35
S02875,Shovels / Rakes,2283,2283,17.82,371.89
S02876,Manure Scoops,1303,1303,31.11,1808.28
S02877,Shovels / Rakes,4550,4500,3.91,2428.51
S02878,Feed Buckets / Feed Tubs,1535,1535,3.2,151.59
S02879,Stable Brooms / Yard Brushes,4283,4283,28.46,2114.08
S02880,Feed Buckets / Feed Tubs,253,253,29.09,270.53
S02881,Feed Buckets / Feed Tubs,3836,3836,19.27,1016.02
S02882,Rubber Matting (for stalls and walkways),3813,3813,3.89,1554.81
S02883,Manure Scoops,4409,4409,23.94,915.95
S02884,Storage Bins / Feed Storage,4462,4462,16.81,629.74
S02885,Feed Buckets / Feed Tubs,3113,3113,21.56,1273.56
S02886,Stable Brooms / Yard Brushes,1212,1212,8.74,2404.68
S02887,Feed Buckets / Feed Tubs,3026,3026,33.43,820.83
S02888,Feed Buckets / Feed Tubs,3884,3884,19.2,788.39
S02889,Muck Forks / Stable Forks,2184,2184,13.05,2467.51
S02890,Shovels / Rakes,954,954,16.44,1535.32
S02891,Stable Brooms / Yard Brushes,4673,4673,31.91,1246.19
S02892,Water Troughs / Water Buckets,3673,3673,25.57,1200.67
S02893,Hay Nets / Hay Bags,3691,3691,8.16,1410.31
S02894,Shovels / Rakes,480,480,13.1,1999.27
S02895,Muck Forks / Stable Forks,3483,3483,18.99,1639.76
S02896,Feed Buckets / Feed Tubs,1336,1336,2.68,658.78
S02897,Stable Brooms / Yard Brushes,4166,4166,25.29,2105.33
S02898,Muck Forks / Stable Forks,2697,2697,13.1,2248.05
S02899,Water Troughs / Water Buckets,4774,4774,24.94,2350.92
S02900,Feed Buckets / Feed Tubs,619,619,1.9,1267.26
S02901,Stable Brooms / Yard Brushes,1348,1348,20.37,1841.14
S02902,Water Troughs / Water Buckets,1708,1708,8.83,59.02
S02903,Water Troughs / Water Buckets,2547,2547,33.41,2352.32
S02904,Water Troughs / Water Buckets,2465,2465,11.4,731.15
S02905,Manure Scoops,2963,2963,24.19,2224.61
S02906,Rubber Matting (for stalls and walkways),1099,1099,13.26,679.58
S02907,Storage Bins / Feed Storage,3242,3242,33.86,1882.9
S02908,Hay Nets / Hay Bags,2430,2430,27.84,251.23
S02909,Muck Forks / Stable Forks,3165,3165,32.83,1190.69
S02910,Manure Scoops,3289,3289,8.51,2259.38
S02911,Water Troughs / Water Buckets,3389,3389,26.86,1156.61
S02912,Hay Nets / Hay Bags,1726,1726,30.39,2494.49
S02913,Manure Scoops,3917,3917,29.3,945.76
S02914,Muck Forks / Stable Forks,4249,4249,9.26,137.38
S02915,Manure Scoops,3639,3639,24.55,1927.33
S02916,Hay Nets / Hay Bags,4352,4352,2.43,95.05
S02917,Storage Bins / Feed Storage,2087,2087,6.28,559.86
S02918,Water Troughs / Water Buckets,3195,3195,9.18,1172.71
S02919,Muck Forks / Stable Forks,4093,4093,30.77,602.17
S02920,Stable Brooms / Yard Brushes,4563,4064,18.91,2138.05
S02921,Feed Buckets / Feed Tubs,4351,4351,22.06,1360.03
S02922,Muck Forks / Stable Forks,3905,3905,19.34,1049.02
S02923,Water Troughs / Water Buckets,3061,3061,27.42,1935.09
S02924,Stable Brooms / Yard Brushes,450,450,32.62,364.27
S02925,Rubber Matting (for stalls and walkways),3678,3531,20.73,71.9
S02926,Water Troughs / Water Buckets,1605,1605,26.03,2436.12
S02927,Shovels / Rakes,1379,1379,27.33,1218.94
S02928,Storage Bins / Feed Storage,2013,2013,9.96,1032.86
S02929,Shovels / Rakes,436,436,19.44,256.31
S02930,Feed Buckets / Feed Tubs,4963,4963,13.15,1801.2
S02931,Muck Forks / Stable Forks,654,654,17.56,749.29
S02932,Feed Buckets / Feed Tubs,3465,3465,27.65,921.88
S02933,Storage Bins / Feed Storage,3283,3283,3,851.57
S02934,Water Troughs / Water Buckets,798,798,23.45,2489.42
S02935,Shovels / Rakes,523,523,16.83,1920.13
S02936,Stable Brooms / Yard Brushes,538,538,25.28,1754.08
S02937,Water Troughs / Water Buckets,1398,1398,7.65,1448.61
S02938,Manure Scoops,496,496,25.05,587.25
S02939,Muck Forks / Stable Forks,770,770,28.78,691.56
S02940,Hay Nets / Hay Bags,3147,3147,26.31,1272.69
S02941,Stable Brooms / Yard Brushes,3663,3663,15.45,2101.56
S02942,Stable Brooms / Yard Brushes,2651,2491,18.15,679.74
S02943,Shovels / Rakes,585,573,32.51,1206.1
S02944,Manure Scoops,2403,2403,5.08,1554.34
S02945,Feed Buckets / Feed Tubs,820,808,15.21,1941.36
S02946,Rubber Matting (for stalls and walkways),2732,2732,34.89,2123.02
S02947,Rubber Matting (for stalls and walkways),2941,2941,7.86,2214.08
S02948,Shovels / Rakes,2047,2047,29.09,1864.05
S02949,Stable Brooms / Yard Brushes,1475,1475,27.28,1547.86
S02950,Hay Nets / Hay Bags,431,431,18.59,2388.2
S02951,Feed Buckets / Feed Tubs,4376,4376,18.59,1777.12
S02952,Muck Forks / Stable Forks,2467,2467,15.89,1011.83
S02953,Hay Nets / Hay Bags,3547,3547,11.23,1724.36
S02954,Feed Buckets / Feed Tubs,3173,3173,32.1,688.53
S02955,Muck Forks / Stable Forks,1471,1471,25.54,181.22
S02956,Storage Bins / Feed Storage,4644,4644,32.44,894.58
S02957,Feed Buckets / Feed Tubs,2381,2381,NULL,2044.44
S02958,Muck Forks / Stable Forks,1027,1027,25.76,2111.47
S02959,Water Troughs / Water Buckets,1157,1157,32.22,1121.19
S02960,Feed Buckets / Feed Tubs,2960,2960,14.03,1454.73
S02961,Stable Brooms / Yard Brushes,266,266,32.29,1937.39
S02962,Stable Brooms / Yard Brushes,417,417,34.29,71.84
S02963,Feed Buckets / Feed Tubs,699,631,16.23,1995.83
S02964,Stable Brooms / Yard Brushes,424,424,12.67,569.08
S02965,Hay Nets / Hay Bags,4938,4938,18.44,996.09
S02966,Water Troughs / Water Buckets,667,667,32.48,1024
S02967,Water Troughs / Water Buckets,2882,2882,22.26,425.28
S02968,Shovels / Rakes,997,997,23.97,484.76
S02969,Muck Forks / Stable Forks,3913,3913,5.9,243.33
S02970,Hay Nets / Hay Bags,4101,4101,19.45,1977.06
S02971,Manure Scoops,211,211,3.94,2393.18
S02972,Stable Brooms / Yard Brushes,1306,1306,20.35,1028.74
S02973,Water Troughs / Water Buckets,3587,3587,15.21,1615.91
S02974,Manure Scoops,704,704,32.76,1970.06
S02975,Manure Scoops,2338,2338,22.18,2010.07
S02976,Feed Buckets / Feed Tubs,270,270,9.11,2104.78
S02977,Hay Nets / Hay Bags,4843,4843,25.95,401.66
S02978,Storage Bins / Feed Storage,2515,2515,31.05,2058.81
S02979,Storage Bins / Feed Storage,1307,1307,12.43,2248.42
S02980,Manure Scoops,1980,1980,1.87,936.27
S02981,Water Troughs / Water Buckets,4217,4217,1.11,1159.21
S02982,Feed Buckets / Feed Tubs,4058,4058,2.42,314.45
S02983,Stable Brooms / Yard Brushes,3265,3265,15.46,215.89
S02984,Rubber Matting (for stalls and walkways),4551,4551,3.36,2410.8
S02985,Feed Buckets / Feed Tubs,4006,4006,6.78,1576.17
S02986,Shovels / Rakes,3849,3776,19.75,1161.73
S02987,Storage Bins / Feed Storage,2735,2735,3.58,2021.45
S02988,Shovels / Rakes,664,664,20.33,656.55
S02989,Manure Scoops,385,385,9.73,542.09
S02990,Water Troughs / Water Buckets,3440,3440,28.93,2426.3
S02991,Hay Nets / Hay Bags,915,915,6.33,43.09
S02992,Stable Brooms / Yard Brushes,1007,1007,9.23,510.24
S02993,Water Troughs / Water Buckets,1804,1804,1.44,253.83
S02994,Stable Brooms / Yard Brushes,609,609,31.39,86.3
S02995,Feed Buckets / Feed Tubs,1398,1398,16.6,2433.89
S02996,Hay Nets / Hay Bags,965,965,8.1,515.8
S02997,Rubber Matting (for stalls and walkways),1892,1892,6.26,2187.61
S02998,Muck Forks / Stable Forks,1169,1169,34.35,242.57
S02999,Manure Scoops,3213,3213,4.96,132.94
S03000,Muck Forks / Stable Forks,2111,2111,22.93,2121.41
S03001,Rubber Matting (for stalls and walkways),2188,2188,11.32,458.22
S03002,Storage Bins / Feed Storage,4374,4374,16.34,1296.38
S03003,Storage Bins / Feed Storage,3168,3168,31.71,136.7
S03004,Rubber Matting (for stalls and walkways),495,495,5.27,1918.78
S03005,Feed Buckets / Feed Tubs,699,699,32.04,2325.25
S03006,Hay Nets / Hay Bags,3465,3465,3.49,548.38
S03007,Rubber Matting (for stalls and walkways),4179,4179,13.93,894.98
S03008,Storage Bins / Feed Storage,1534,1534,15.75,81.13
S03009,Stable Brooms / Yard Brushes,4949,4949,22.06,1691.46
S03010,Stable Brooms / Yard Brushes,1916,1700,2.89,626.16
S03011,Manure Scoops,4947,4947,1.11,2010.41
S03012,Manure Scoops,4713,4713,32.36,2354.86
S03013,Storage Bins / Feed Storage,234,234,32.93,1175.08
S03014,Water Troughs / Water Buckets,3808,3808,3.65,537.21
S03015,Manure Scoops,834,834,20.04,1055.36
S03016,Shovels / Rakes,3703,3703,4.88,2110.03
S03017,Storage Bins / Feed Storage,2014,2014,24.59,855.71
S03018,Stable Brooms / Yard Brushes,550,550,33.74,1283.5
S03019,Water Troughs / Water Buckets,2613,2613,14.01,1134.44
S03020,Water Troughs / Water Buckets,3180,3180,28.85,1960.74
S03021,Stable Brooms / Yard Brushes,492,492,24.34,1808.99
S03022,Storage Bins / Feed Storage,460,460,21.6,NULL
S03023,Stable Brooms / Yard Brushes,2110,2110,17.78,2148.17
S03024,Storage Bins / Feed Storage,851,851,11.78,1426.93
S03025,Manure Scoops,334,334,17.2,598.85
S03026,Manure Scoops,421,421,14.92,1387.31
S03027,Feed Buckets / Feed Tubs,2679,2679,33.32,1372.28
S03028,Shovels / Rakes,1054,1054,30.08,1387.43
S03029,Rubber Matting (for stalls and walkways),696,696,26.86,1611.99
S03030,Manure Scoops,3013,3013,12.8,2049.67
S03031,Muck Forks / Stable Forks,4584,4584,15.77,1057.67
S03032,Manure Scoops,4660,4660,24.37,1813.53
S03033,Shovels / Rakes,1357,1357,1.8,75.52
S03034,Rubber Matting (for stalls and walkways),218,218,10.44,470.06
S03035,Water Troughs / Water Buckets,840,840,25,569.06
S03036,Shovels / Rakes,2286,2286,23.25,833.81
S03037,Feed Buckets / Feed Tubs,4209,4209,16.83,760.62
S03038,Feed Buckets / Feed Tubs,1914,1914,18.35,846.23
S03039,Hay Nets / Hay Bags,3317,3317,5.72,1032.08
S03040,Muck Forks / Stable Forks,3408,3408,17.62,1108.06
S03041,Shovels / Rakes,4777,4777,17.36,1346.83
S03042,Muck Forks / Stable Forks,3659,3659,20.86,1973.6
S03043,Storage Bins / Feed Storage,1127,1127,16.39,1834.77
S03044,Shovels / Rakes,1582,1582,10.84,1750.81
S03045,Shovels / Rakes,1491,NULL,19.86,1540.89
S03046,Stable Brooms / Yard Brushes,1453,1453,18.2,1100.27
S03047,Manure Scoops,590,590,18.23,201.26
S03048,Storage Bins / Feed Storage,1996,1996,25.84,2433.33
S03049,Water Troughs / Water Buckets,2453,2453,16.16,2236.69
S03050,Shovels / Rakes,4165,4165,7.14,551.04
S03051,Feed Buckets / Feed Tubs,126,126,12.04,1922.25
S03052,Storage Bins / Feed Storage,4364,4364,33.45,842.68
S03053,Hay Nets / Hay Bags,4102,4102,27.4,152.04
S03054,Manure Scoops,2392,2392,5.05,355.49
S03055,Stable Brooms / Yard Brushes,4957,4957,8.99,171.46
S03056,Shovels / Rakes,2761,2761,10.37,875.8
S03057,Rubber Matting (for stalls and walkways),1658,1658,12.11,2093.76
S03058,Feed Buckets / Feed Tubs,2858,2858,13.89,2258.13
S03059,Shovels / Rakes,3082,3082,24.98,1003.01
S03060,Manure Scoops,373,373,0.89,1776.49
S03061,Storage Bins / Feed Storage,1615,1615,27.11,590.25
S03062,Feed Buckets / Feed Tubs,61,61,15.18,560.24
S03063,Stable Brooms / Yard Brushes,170,156,15.63,156.89
S03064,Shovels / Rakes,3816,3816,20.4,638.93
S03065,Shovels / Rakes,2567,2567,12.69,452.84
S03066,Feed Buckets / Feed Tubs,595,595,30.68,1632.76
S03067,Storage Bins / Feed Storage,1803,1803,15.71,945.55
S03068,Shovels / Rakes,1524,1436,20.49,1640.57
S03069,Water Troughs / Water Buckets,1544,1544,9.88,2461.13
S03070,Water Troughs / Water Buckets,3631,3631,10.26,1251.06
S03071,Shovels / Rakes,2660,2660,7.81,1051.75
S03072,Water Troughs / Water Buckets,3230,3230,31.64,1852.88
S03073,Water Troughs / Water Buckets,2733,2733,16.77,232.45
S03074,Feed Buckets / Feed Tubs,1356,1356,21.59,1101.13
S03075,Stable Brooms / Yard Brushes,4249,4249,8.92,513.95
S03076,Rubber Matting (for stalls and walkways),806,806,30.55,808.74
S03077,Manure Scoops,4503,4503,7.82,1415.16
S03078,Shovels / Rakes,1838,1838,20.12,430.17
S03079,Manure Scoops,1058,1058,2.39,1990.94
S03080,Stable Brooms / Yard Brushes,4928,4928,4.78,2451.55
S03081,Stable Brooms / Yard Brushes,637,637,20.34,373.08
S03082,Muck Forks / Stable Forks,720,720,16.4,318.35
S03083,Stable Brooms / Yard Brushes,2137,2137,28.88,192.24
S03084,Rubber Matting (for stalls and walkways),3786,3786,18.04,622.04
S03085,Feed Buckets / Feed Tubs,3403,3403,0.91,1764.62
S03086,Stable Brooms / Yard Brushes,3685,3685,13.77,2183.68
S03087,Stable Brooms / Yard Brushes,2748,2748,2.54,798.71
S03088,Rubber Matting (for stalls and walkways),4652,4652,5.29,1252.27
S03089,Stable Brooms / Yard Brushes,2724,2724,20.24,1853.66
S03090,Shovels / Rakes,4284,4284,13,2310.5
S03091,Rubber Matting (for stalls and walkways),4271,4271,20.51,713.2
S03092,Hay Nets / Hay Bags,4602,4602,22.5,1945.67
S03093,Storage Bins / Feed Storage,1656,1656,29.5,1827.93
S03094,Manure Scoops,828,828,2.29,770.85
S03095,Feed Buckets / Feed Tubs,1654,1553,28.45,395.45
S03096,Muck Forks / Stable Forks,1716,1716,7.54,1626.11
S03097,Feed Buckets / Feed Tubs,647,647,19.56,1899.59
S03098,Feed Buckets / Feed Tubs,2317,2317,11.01,1394.49
S03099,Feed Buckets / Feed Tubs,4349,4349,15.08,251.86
S03100,Water Troughs / Water Buckets,4498,4149,26.46,1496.25
S03101,Stable Brooms / Yard Brushes,2272,2272,11.02,1963.05
S03102,Storage Bins / Feed Storage,4027,3925,12.13,215.88
S03103,Feed Buckets / Feed Tubs,3338,3338,19.21,2364.13
S03104,Feed Buckets / Feed Tubs,750,750,29.39,1795.25
S03105,Hay Nets / Hay Bags,1024,1024,8,1419.46
S03106,Stable Brooms / Yard Brushes,4970,4970,23.88,912.18
S03107,Manure Scoops,2402,2402,32.36,1193.9
S03108,Muck Forks / Stable Forks,4697,4697,26.83,1558.95
S03109,Hay Nets / Hay Bags,3094,3094,5.95,2152.24
S03110,Water Troughs / Water Buckets,169,169,22.11,211.18
S03111,Shovels / Rakes,2348,2348,23.2,1928.67
S03112,Stable Brooms / Yard Brushes,1448,1448,8.41,1759.47
S03113,Muck Forks / Stable Forks,596,596,31.21,735.71
S03114,Water Troughs / Water Buckets,436,436,24.88,1594.97
S03115,Stable Brooms / Yard Brushes,3430,3430,8.9,1472.5
S03116,Feed Buckets / Feed Tubs,2165,2165,13.26,2019.18
S03117,Feed Buckets / Feed Tubs,1860,1860,22.04,223.48
S03118,Shovels / Rakes,4072,4072,3.8,2025.8
S03119,Muck Forks / Stable Forks,4052,4052,22.14,1198.6
S03120,Feed Buckets / Feed Tubs,3389,3389,1.05,1643.49
S03121,Manure Scoops,1905,1905,18.16,1076.08
S03122,Hay Nets / Hay Bags,2180,2180,26.49,493.25
S03123,Shovels / Rakes,3649,3396,11.34,1929.81
S03124,Feed Buckets / Feed Tubs,1859,1859,17.78,632.98
S03125,Water Troughs / Water Buckets,4952,4952,32.82,1853.03
S03126,Water Troughs / Water Buckets,2645,2645,19.09,676.5
S03127,Feed Buckets / Feed Tubs,3928,3928,21.73,629.6
S03128,Feed Buckets / Feed Tubs,3212,3212,33.46,624.48
S03129,Rubber Matting (for stalls and walkways),2623,2623,11.94,254.02
S03130,Muck Forks / Stable Forks,1137,1137,23.75,2273
S03131,Storage Bins / Feed Storage,2886,2886,15.84,811.31
S03132,Water Troughs / Water Buckets,220,220,18.18,1475.08
S03133,Storage Bins / Feed Storage,4532,4532,3.93,1225.94
S03134,Water Troughs / Water Buckets,341,341,16.98,1133.53
S03135,Muck Forks / Stable Forks,1204,1204,11.76,1388.9
S03136,Feed Buckets / Feed Tubs,3019,3019,6.33,1526.79
S03137,Manure Scoops,4867,4867,13.61,1192.16
S03138,Water Troughs / Water Buckets,1042,1042,23.7,465.57
S03139,Hay Nets / Hay Bags,1581,1581,14.73,2420.94
S03140,Storage Bins / Feed Storage,1592,1592,34.45,2187.07
S03141,Feed Buckets / Feed Tubs,3383,3383,11.6,1359.56
S03142,Storage Bins / Feed Storage,2041,2041,1.11,187.4
S03143,Storage Bins / Feed Storage,235,235,22.34,1011.97
S03144,Shovels / Rakes,3812,3812,7.05,942.85
S03145,Feed Buckets / Feed Tubs,869,869,32.82,643.98
S03146,Rubber Matting (for stalls and walkways),2131,2131,12.61,488.39
S03147,Manure Scoops,2374,2374,17.38,1098.62
S03148,Manure Scoops,1705,1705,27.25,1134.53
S03149,Water Troughs / Water Buckets,532,532,26.91,845.25
S03150,Feed Buckets / Feed Tubs,2654,2654,16.43,748.99
S03151,Manure Scoops,4068,4068,2.6,1131.98
S03152,Muck Forks / Stable Forks,1008,1008,32.23,1714.83
S03153,Water Troughs / Water Buckets,2700,2700,31.2,1957.23
S03154,Muck Forks / Stable Forks,4318,4318,12.71,1163.89
S03155,Hay Nets / Hay Bags,3535,3535,13.62,1898.46
S03156,Feed Buckets / Feed Tubs,4763,4763,9.09,258.97
S03157,Muck Forks / Stable Forks,471,471,12.77,311.41
S03158,Manure Scoops,3169,3169,30.6,196.03
S03159,Hay Nets / Hay Bags,1332,1332,14.74,261.19
S03160,Hay Nets / Hay Bags,4676,4676,10.53,1283.5
S03161,Rubber Matting (for stalls and walkways),706,706,22.73,2360.41
S03162,Feed Buckets / Feed Tubs,3405,3405,27.27,612.21
S03163,Manure Scoops,3243,3243,7.25,259.91
S03164,Manure Scoops,3189,3189,19.96,1092.45
S03165,Hay Nets / Hay Bags,2681,2489,5.7,1533.1
S03166,Muck Forks / Stable Forks,4076,4076,15.48,2196.12
S03167,Muck Forks / Stable Forks,3629,3629,26.71,970.5
S03168,Water Troughs / Water Buckets,4266,4266,9.95,364.1
S03169,Water Troughs / Water Buckets,1135,1135,3.8,1681
S03170,Stable Brooms / Yard Brushes,3176,3176,8.01,2443.44
S03171,Storage Bins / Feed Storage,1201,1201,15.2,1063.85
S03172,Manure Scoops,3243,3243,15.69,1162.28
